"locus","short_name","name","aliases","Length","logFC","logCPM","F","PValue","FDR"
"AT1G01010","NAC001","NAC domain containing protein 1","ANAC001, NAC001, NTL10",1688,1.21249474020354,2.85450517319264,20.7842540750791,0.000276156897136413,0.00415291860139805
"AT1G01020","ARV1","","ARV1",1774,-0.556875191922622,3.25788919522958,9.58963378255623,0.0065305192567029,0.0363914704720811
"AT1G01030","NGA3","NGATHA3","NGA3",1905,0.855744533099682,1.29072150472901,6.96898867406709,0.0171643156104658,0.0709500191758636
"AT1G01040","DCL1","dicer-like 1","ASU1, ATDCL1, CAF, DCL1, EMB60, EMB76, SIN1, SUS1",6254,0.0781440225976045,5.01060622096496,0.172790932881004,0.682825782198955,0.809386071203469
"AT1G01046","MIR838A","microRNA838A","MIR838A",207,0.196821210577277,-1.2081863021592,0.10679588372004,0.747797807471113,0.854726074160157
"AT1G01050","PPa1","pyrophosphorylase 1","AtPPa1, PPa1",976,-0.167547300722118,6.23948658088514,1.75753459039714,0.202414091738478,0.376569733757779
"AT1G01060","LHY","LATE ELONGATED HYPOCOTYL","LHY, LHY1",3234,0.781593394692661,6.28459645977535,5.57199042535686,0.0304155683043882,0.105362674687641
"AT1G01070","UMAMIT28","Usually multiple acids move in and out Transporters 28","UMAMIT28",1450,-0.218086272413332,2.20109495562888,1.05632369465181,0.318410038442705,0.503374627544282
"AT1G01080","AT1G01080","","",1322,-0.476433745157073,6.59713674825673,10.6817856706316,0.00451361919564496,0.0281791547543479
"AT1G01090","PDH-E1 ALPHA","pyruvate dehydrogenase E1 alpha","PDH-E1 ALPHA",1627,-0.262048802556353,7.23744672641181,2.95159613517683,0.103890169018742,0.241671369464478
"AT1G01100","AT1G01100","","RPP1.1, RPP1A",679,-0.67575995593582,7.90626926210244,10.5305181622176,0.00474567797225602,0.0290621037206247
"AT1G01110","IQD18","IQ-domain 18","IQD18",1851,-0.726213655964171,1.40368736649912,5.10299952454468,0.0372649181123646,0.121224464562945
"AT1G01120","KCS1","3-ketoacyl-CoA synthase 1","KCS1",1899,-0.362665915880862,7.55429045611454,2.45169868654109,0.135760381233285,0.289097770620387
"AT1G01130","AT1G01130","","",375,-1.46808239355277,1.20417662268945,22.0325651056016,0.000207122037879366,0.00341491411765153
"AT1G01140","CIPK9","CBL-interacting protein kinase 9","CIPK9, PKS6, SnRK3.12",1707,0.74137408966379,6.9894167943522,14.3038519281125,0.00148012064937058,0.0132565806044357
"AT1G01160","GIF2","GRF1-interacting factor 2","GIF2",1147,-0.15824702189822,5.16932914926702,1.33060510599279,0.264605574869547,0.445981186614826
"AT1G01170","AT1G01170","","",515,-0.428067635853016,6.02493649367046,5.30398976456752,0.0341330723516727,0.114012076644482
